Feature,Gain,Cover,Frequency,Importance
Var208Var218Var229,0.00545406156812478,0.00640949819808001,0.00408788962698007,0.00545406156812478
Var13,0.00541102415013129,0.00265575493414458,0.00459887583035258,0.00541102415013129
Var206Var212Var229,0.00539290788795989,0.00957830671082186,0.00766479305058763,0.00539290788795989
Var126_NAVar205Var218,0.00521550552018016,0.00525920612398664,0.00357690342360756,0.00521550552018016
Var126_NAVar199Var218,0.00517653088374914,0.00427227926250216,0.00408788962698007,0.00517653088374914
Var192Var193,0.00515275154589909,0.00477143428392039,0.00715380684721513,0.00515275154589909
Var126_NAVar206Var226,0.00481804334799098,0.00420821768795335,0.00664282064384262,0.00481804334799098
Var140,0.00473675898390424,0.0033941245134924,0.00510986203372509,0.00473675898390424
Var126_NAVar205Var212,0.00470164995514445,0.00449957187480782,0.00153295861011753,0.00470164995514445
Var204Var219,0.00469166071356076,0.00901998475068489,0.00766479305058763,0.00469166071356076
Var208Var210Var218,0.00458770343407171,0.0056437184598569,0.00408788962698007,0.00458770343407171
Var199Var205Var208,0.00430038963498917,0.0038016922517063,0.00306591722023505,0.00430038963498917
Var199Var223,0.00427860868679917,0.00551942393998567,0.00970873786407767,0.00427860868679917
Var126_NAVar212Var229,0.00426537513310015,0.00340026083454127,0.00255493101686254,0.00426537513310015
Var210Var217Var229,0.00410625143048565,0.00348434787153888,0.00306591722023505,0.00410625143048565
Var197Var208Var218,0.00408365159643058,0.00421469991499193,0.00510986203372509,0.00408365159643058
Var197Var218Var229,0.00398992924510564,0.00543731962654011,0.00459887583035258,0.00398992924510564
Var194Var199,0.00393595814965661,0.00512633820687614,0.00715380684721513,0.00393595814965661
Var125,0.00389856923271412,0.00165170019233428,0.00408788962698007,0.00389856923271412
Var192Var228,0.00375764715794726,0.00258478019547474,0.00408788962698007,0.00375764715794726
Var126_NAVar192Var208,0.00352611545590399,0.00275229231542161,0.00817577925396014,0.00352611545590399
Var206Var218Var229,0.00350911019677761,0.00249847202574663,0.00306591722023505,0.00350911019677761
Var126_NAVar217Var229,0.00348846440387274,0.00241494828360333,0.00408788962698007,0.00348846440387274
Var126_NAVar210Var218,0.00345998745532149,0.00292026258735628,0.00255493101686254,0.00345998745532149
Var126_NAVar192Var226,0.00342182691594931,0.00488119687027971,0.00408788962698007,0.00342182691594931
Var217Var228,0.00341357559460864,0.00203771087599807,0.00204394481349004,0.00341357559460864
Var199Var205,0.00339054143664954,0.00347239065804065,0.00306591722023505,0.00339054143664954
Var205Var208Var218,0.00323206026690552,0.00223332905523005,0.00255493101686254,0.00323206026690552
Var197Var208Var226,0.00319093795498549,0.0063975264066431,0.0056208482370976,0.00319093795498549
Var197Var210Var218,0.00318743608837866,0.00318880969239195,0.00459887583035258,0.00318743608837866
Var126_NAVar217Var226,0.00313882096038276,0.00271523234578962,0.00306591722023505,0.00313882096038276
Var199Var210Var216,0.00307703494958675,0.00498113132424151,0.00459887583035258,0.00307703494958675
Var199Var210Var229,0.00299810293040303,0.000948655394942976,0.00255493101686254,0.00299810293040303
Var199,0.00296383173452426,0.00231052068593562,0.00204394481349004,0.00296383173452426
Var208Var217Var229,0.00289670287344,0.00557845554752863,0.0056208482370976,0.00289670287344
Var199Var205Var229,0.00283267466028422,0.00283561679820479,0.00306591722023505,0.00283267466028422
Var208Var210Var226,0.0027300442965384,0.00259814795875624,0.00255493101686254,0.0027300442965384
Var199Var206Var216,0.00270570675044928,0.00447570634378698,0.00408788962698007,0.00270570675044928
Var205Var210Var226,0.00265826550460626,0.00225536982478224,0.00408788962698007,0.00265826550460626
Var205Var210Var218,0.00261171289463208,0.00418858661449711,0.00255493101686254,0.00261171289463208
Var205Var226Var229,0.00249851488479376,0.00418146518820964,0.00408788962698007,0.00249851488479376
Var205Var210Var212,0.00248934765220964,0.00527090233869607,0.00613183444047011,0.00248934765220964
Var194Var217,0.00245934848790463,0.00227045943671883,0.00408788962698007,0.00245934848790463
Var199Var210,0.00240150512209744,0.00227701744426017,0.00204394481349004,0.00240150512209744
Var126_NAVar192Var197,0.00238118184488161,0.00404301577896285,0.00306591722023505,0.00238118184488161
Var126_NAVar210Var217,0.00237319494892833,0.0023136035689392,0.00306591722023505,0.00237319494892833
